LA,01312004,001204,4131,2055551235,2051118684,Y
LD,01312004,005246,674,2055551236,3211137694,P
LC,01312018,010400,3147,2055551236,2051127926,Y
LC,01312004,fhjksd,4208,2055551232,2051139618,Y
LD,01312004,012055,jfjdk,2055551235,2811154932,Y
LC,01312004,012137,1743,20555512,2051135929,Y
LC,01312004,012317,25,2055551234,205113481443,N
LD,01312004,012342,1942,2055551234,2191193573,Y
LD,01312004,012821,29,2055551231,8311148957,N
LD,01312004,012850,5186,2055551231,7601156823,Y
LD,01312004,014537,4457,2055551237,7091104474,Y
LD,01312004,015040,6300,2055551239,2561120796,Y
LD,01312004,015322,6621,2055551230,9891116412,Y
LC,01312004,015604,4083,2055551234,2051116157,Y
LC,01312004,015627,11,2055551236,2051139399,N
LC,01312004,015638,6025,2055551236,2051112310,Y
LD,01312004,022851,37,2055551232,7171182619,N
LC,01312004,022928,37,2055551232,2051159712,N
LC,01312004,023005,5267,2055551232,2051151517,Y
LD,01312004,023329,1780,2055551235,2341178389,Y
LD,01312004,023425,634,2055551233,5411167496,Y
LC,01312004,024309,4841,2055551238,2051148776,Y
LD,01312004,024459,6211,2055551233,4231147602,Y
LC,01312004,025516,3689,2055551231,2051137874,Y
LD,01312004,025954,32,2055551237,7741165301,N
LC,01312004,030026,13,2055551237,2051132602,N
LD,01312004,030039,821,2055551237,3181152376,Y
LC,01312004,030309,59,2055551235,2051139746,Y
LC,01312004,030407,2864,2055551234,2051134894,Y
LC,01312004,030408,3263,2055551235,2051141085,Y
LC,01312004,031420,2428,2055551237,2051112090,Y
LC,01312004,033540,3711,2055551239,2051115961,Y
LD,01312004,033703,3671,2055551236,5131171070,Y
LC,01312004,034343,38,2055551230,2051110594,Y
LD,01312004,034421,1056,2055551230,9751180941,Y
LD,01312004,035151,124,2055551234,2801111673,Y
LD,01312004,035355,3596,2055551234,9081180336,Y
LC,01312004,035448,6340,2055551237,2051111556,Y
LD,01312004,035645,44,2055551231,9571129822,N
LC,01312004,035729,21,2055551231,2051152607,N
LC,01312004,035750,4264,2055551231,2051133648,Y
LC,01312004,035752,2392,2055551232,2051130114,Y
LC,01312004,035831,60,2055551235,2051127654,Y
LC,01312004,035931,327,2055551235,2051118652,Y
LC,01312004,040157,36,2055551230,2051148262,N
LC,01312004,040233,3277,2055551230,2051135319,Y
LC,01312004,040350,62,2055551238,2051143704,Y
LC,01312004,040452,12,2055551238,2051149971,N
LC,01312004,040458,177,2055551235,2051124050,Y
LC,01312004,040504,4744,2055551238,2051129261,Y
LC,01312004,040755,5818,2055551235,2051111426,Y
LC,01312004,042830,3143,2055551233,2051118869,Y
LC,01312004,043731,6292,2055551239,2051127514,Y
LD,01312004,043744,14100,2055551232,8581169601,Y
LC,01312004,043814,3602,2055551236,2051134727,Y
LC,01312004,045351,4200,2055551234,2051139822,Y
LD,01312004,045710,5175,2055551230,6061120322,Y
LD,01312004,045754,3241,2055551232,2181181175,Y
LD,01312004,050854,2354,2055551231,3031151688,Y
LC,01312004,052053,6468,2055551233,2051117744,Y
LD,01312004,052408,3618,2055551238,5071139469,Y
LD,01312004,053816,3691,2055551236,2031114329,Y
LC,01312004,054028,2531,2055551237,2051130239,Y
LD,01312004,054453,4940,2055551235,8781121190,Y
LC,01312004,054808,2092,2055551231,2051145684,Y
LC,01312004,055155,4748,2055551232,2051126044,Y
LD,01312004,060351,6028,2055551234,8181177848,Y
LC,01312004,062223,6316,2055551239,2051145995,Y
LD,01312004,062239,38,2055551237,7191118303,N
LD,01312004,062300,5549,2055551231,8061123078,Y
LD,01312004,062317,1804,2055551237,7341170191,Y
LC,01312004,062325,3870,2055551230,2051130883,Y
LD,01312004,062426,33,2055551238,8131167614,N
LC,01312004,062459,351,2055551238,2051151508,Y
LC,01312004,063050,1761,2055551238,2051113705,Y
LD,01312004,063947,1742,2055551236,3081124998,Y
LC,01312004,065321,1434,2055551237,2051146899,Y
LD,01312004,070011,6687,2055551238,3011140692,Y
LD,01312004,070713,2,2055551235,3211122103,N
LD,01312004,070715,1870,2055551235,7041123978,Y
LD,01312004,070841,3010,2055551233,2151149164,Y
LC,01312004,070849,3280,2055551236,2051146696,Y
LC,01312004,071103,202,2055551232,2051115194,Y
LC,01312004,071425,5739,2055551232,2051137288,Y
LC,01312004,071715,5540,2055551237,2051110491,Y
LC,01312004,072755,2550,2055551230,2051123742,Y
LD,01312004,073825,4236,2055551235,7151163269,Y
LC,01312004,074419,3244,2055551234,2051124164,Y
LD,01312004,075529,3816,2055551231,9141195052,Y
LC,01312004,075851,4894,2055551233,2051122327,Y
